ファイル名,学年,単元名,項目名,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,識別力の推定誤差_300尺度,識別力の推定誤差_theta換算,学習前提単元名,学習前提項目名
m-jh2-A-01-05sｰ03.txt,中学2年,多項式の計算,多項式の加法と減法,126.9,2.538,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05sｰ04.txt,中学2年,多項式の計算,多項式の加法と減法,129.9,2.598,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-06bｰ01.txt,中学2年,多項式の計算,数と多項式の乗法,111.9,2.238,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06bｰ02.txt,中学2年,多項式の計算,数と多項式の乗法,114.9,2.298,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06bｰ03.txt,中学2年,多項式の計算,数と多項式の乗法,111.9,2.238,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06bｰ04.txt,中学2年,多項式の計算,数と多項式の乗法,114.9,2.298,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06sｰ01.txt,中学2年,多項式の計算,数と多項式の乗法,128.9,2.578,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06sｰ02.txt,中学2年,多項式の計算,数と多項式の乗法,131.9,2.638,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06sｰ03.txt,中学2年,多項式の計算,数と多項式の乗法,128.9,2.578,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-06sｰ04.txt,中学2年,多項式の計算,数と多項式の乗法,131.9,2.638,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の乗法（項が1つ・項が複数・分数）；多項式の加法と減法
m-jh2-A-01-07bｰ01.txt,中学2年,多項式の計算,多項式と数の除法,113.9,2.278,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07bｰ02.txt,中学2年,多項式の計算,多項式と数の除法,116.9,2.338,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07bｰ03.txt,中学2年,多項式の計算,多項式と数の除法,113.9,2.278,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07bｰ04.txt,中学2年,多項式の計算,多項式と数の除法,116.9,2.338,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07sｰ01.txt,中学2年,多項式の計算,多項式と数の除法,130.9,2.618,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07sｰ02.txt,中学2年,多項式の計算,多項式と数の除法,133.9,2.678,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07sｰ03.txt,中学2年,多項式の計算,多項式と数の除法,130.9,2.618,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-07sｰ04.txt,中学2年,多項式の計算,多項式と数の除法,133.9,2.678,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,1次式の除法（項が1つ・項が複数）；数と多項式の乗法
m-jh2-A-01-08bｰ01.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,115.9,2.318,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08bｰ02.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,118.9,2.378,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08bｰ03.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,115.9,2.318,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08bｰ04.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,118.9,2.378,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08sｰ01.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,132.8,2.656,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08sｰ02.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,135.8,2.716,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08sｰ03.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,132.8,2.656,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-08sｰ04.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含まない）,135.8,2.716,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,多項式の加法と減法；数と多項式の乗法
m-jh2-A-01-09bｰ01.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,117.8,2.356,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09bｰ02.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,120.8,2.416,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09bｰ03.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,117.8,2.356,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09bｰ04.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,120.8,2.416,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09sｰ01.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,134.8,2.696,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09sｰ02.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,137.8,2.756,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09sｰ03.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,134.8,2.696,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-09sｰ04.txt,中学2年,多項式の計算,分配法則を利用する加法と減法（分数を含む）,137.8,2.756,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；分配法則を利用する加法と減法（分数を含まない）
m-jh2-A-01-10bｰ01.txt,中学2年,多項式の計算,単項式の乗法,119.8,2.396,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10bｰ02.txt,中学2年,多項式の計算,単項式の乗法,122.8,2.456,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10bｰ03.txt,中学2年,多項式の計算,単項式の乗法,125.8,2.516,0.0148,0.740,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10bｰ04.txt,中学2年,多項式の計算,単項式の乗法,119.8,2.396,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10sｰ01.txt,中学2年,多項式の計算,単項式の乗法,136.8,2.736,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10sｰ02.txt,中学2年,多項式の計算,単項式の乗法,139.8,2.796,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10sｰ03.txt,中学2年,多項式の計算,単項式の乗法,136.8,2.736,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-10sｰ04.txt,中学2年,多項式の計算,単項式の乗法,139.8,2.796,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法；多項式の計算,累乗；正と負の数の乗法；項の次数
m-jh2-A-01-11bｰ01.txt,中学2年,多項式の計算,単項式の除法,121.8,2.436,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11bｰ02.txt,中学2年,多項式の計算,単項式の除法,124.8,2.496,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11bｰ03.txt,中学2年,多項式の計算,単項式の除法,121.8,2.436,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11bｰ04.txt,中学2年,多項式の計算,単項式の除法,124.8,2.496,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11sｰ01.txt,中学2年,多項式の計算,単項式の除法,138.8,2.776,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11sｰ02.txt,中学2年,多項式の計算,単項式の除法,141.8,2.836,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11sｰ03.txt,中学2年,多項式の計算,単項式の除法,138.8,2.776,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-11sｰ04.txt,中学2年,多項式の計算,単項式の除法,141.8,2.836,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；多項式の計算,逆数を使った除法；単項式の乗法
m-jh2-A-01-12bｰ01.txt,中学2年,多項式の計算,単項式の乗法・除法混合,123.8,2.476,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12bｰ02.txt,中学2年,多項式の計算,単項式の乗法・除法混合,126.8,2.536,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12bｰ03.txt,中学2年,多項式の計算,単項式の乗法・除法混合,123.8,2.476,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12bｰ04.txt,中学2年,多項式の計算,単項式の乗法・除法混合,126.8,2.536,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12sｰ01.txt,中学2年,多項式の計算,単項式の乗法・除法混合,140.7,2.814,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12sｰ02.txt,中学2年,多項式の計算,単項式の乗法・除法混合,143.7,2.874,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12sｰ03.txt,中学2年,多項式の計算,単項式の乗法・除法混合,140.7,2.814,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-12sｰ04.txt,中学2年,多項式の計算,単項式の乗法・除法混合,143.7,2.874,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算；多項式の計算,単項式の乗法；単項式の除法
m-jh2-A-01-13bｰ01.txt,中学2年,多項式の計算,式の値,125.7,2.514,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13bｰ02.txt,中学2年,多項式の計算,式の値,128.7,2.574,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13bｰ03.txt,中学2年,多項式の計算,式の値,125.7,2.514,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13bｰ04.txt,中学2年,多項式の計算,式の値,128.7,2.574,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13sｰ01.txt,中学2年,多項式の計算,式の値,142.7,2.854,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13sｰ02.txt,中学2年,多項式の計算,式の値,145.7,2.914,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13sｰ03.txt,中学2年,多項式の計算,式の値,142.7,2.854,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-01-13sｰ04.txt,中学2年,多項式の計算,式の値,145.7,2.914,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,式の値（代入）；単項式の乗法
m-jh2-A-02-01bｰ01.txt,中学2年,文字式の利用,整数に関するいろいろな性質,127.7,2.554,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01bｰ02.txt,中学2年,文字式の利用,整数に関するいろいろな性質,130.7,2.614,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01bｰ03.txt,中学2年,文字式の利用,整数に関するいろいろな性質,127.7,2.554,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01bｰ04.txt,中学2年,文字式の利用,整数に関するいろいろな性質,130.7,2.614,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01sｰ01.txt,中学2年,文字式の利用,整数に関するいろいろな性質,144.7,2.894,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01sｰ02.txt,中学2年,文字式の利用,整数に関するいろいろな性質,147.7,2.954,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01sｰ03.txt,中学2年,文字式の利用,整数に関するいろいろな性質,144.7,2.894,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-01sｰ04.txt,中学2年,文字式の利用,整数に関するいろいろな性質,147.7,2.954,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の利用（等式）；多項式の加法と減法
m-jh2-A-02-02bｰ01.txt,中学2年,文字式の利用,図形と文字式,129.7,2.594,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02bｰ02.txt,中学2年,文字式の利用,図形と文字式,132.7,2.654,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02bｰ03.txt,中学2年,文字式の利用,図形と文字式,129.7,2.594,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02bｰ04.txt,中学2年,文字式の利用,図形と文字式,132.7,2.654,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02sｰ01.txt,中学2年,文字式の利用,図形と文字式,146.7,2.934,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02sｰ02.txt,中学2年,文字式の利用,図形と文字式,149.7,2.994,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02sｰ03.txt,中学2年,文字式の利用,図形と文字式,146.7,2.934,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-02sｰ04.txt,中学2年,文字式の利用,図形と文字式,149.7,2.994,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,いろいろな数量と文字式；数と多項式の乗法
m-jh2-A-02-03bｰ01.txt,中学2年,文字式の利用,等式の変形,131.7,2.634,0.0140,0.700,18.0,0.360,0.0038,0.190,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03bｰ02.txt,中学2年,文字式の利用,等式の変形,134.7,2.694,0.0144,0.720,18.0,0.360,0.0038,0.190,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03bｰ03.txt,中学2年,文字式の利用,等式の変形,137.7,2.754,0.0148,0.740,18.0,0.360,0.0038,0.190,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03bｰ04.txt,中学2年,文字式の利用,等式の変形,131.7,2.634,0.0140,0.700,18.0,0.360,0.0038,0.190,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03sｰ01.txt,中学2年,文字式の利用,等式の変形,148.6,2.972,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03sｰ02.txt,中学2年,文字式の利用,等式の変形,151.6,3.032,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03sｰ03.txt,中学2年,文字式の利用,等式の変形,148.6,2.972,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-02-03sｰ04.txt,中学2年,文字式の利用,等式の変形,151.6,3.032,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；多項式の計算,移項を利用した１次方程式の解き方；多項式の加法と減法
m-jh2-A-03-01bｰ01.txt,中学2年,連立方程式,連立方程式とその解,133.6,2.672,0.0140,0.700,18.0,0.360,0.0038,0.190,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01bｰ02.txt,中学2年,連立方程式,連立方程式とその解,136.6,2.732,0.0144,0.720,18.0,0.360,0.0038,0.190,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01bｰ03.txt,中学2年,連立方程式,連立方程式とその解,139.6,2.792,0.0148,0.740,18.0,0.360,0.0038,0.190,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01bｰ04.txt,中学2年,連立方程式,連立方程式とその解,142.6,2.852,0.0152,0.760,18.0,0.360,0.0038,0.190,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01sｰ01.txt,中学2年,連立方程式,連立方程式とその解,150.6,3.012,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01sｰ02.txt,中学2年,連立方程式,連立方程式とその解,153.6,3.072,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01sｰ03.txt,中学2年,連立方程式,連立方程式とその解,150.6,3.012,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-01sｰ04.txt,中学2年,連立方程式,連立方程式とその解,153.6,3.072,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；文字式の利用,方程式とその解（代入）①；等式の変形
m-jh2-A-03-02bｰ01.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,135.6,2.712,0.0140,0.700,18.0,0.360,0.0038,0.190,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02bｰ02.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,138.6,2.772,0.0144,0.720,18.0,0.360,0.0038,0.190,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02bｰ03.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,135.6,2.712,0.0140,0.700,18.0,0.360,0.0038,0.190,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02bｰ04.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,138.6,2.772,0.0144,0.720,18.0,0.360,0.0038,0.190,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02sｰ01.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,152.6,3.052,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02sｰ02.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,155.6,3.112,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02sｰ03.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,152.6,3.052,0.0158,0.790,20.0,0.400,0.0042,0.210,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-02sｰ04.txt,中学2年,連立方程式,加減法①2つの式をそのまま加減する,155.6,3.112,0.0162,0.810,20.0,0.400,0.0042,0.210,１次方程式；連立方程式,等式の性質（加法性質・減法性質・乗法性質・除法性質）；連立方程式とその解
m-jh2-A-03-03bｰ01.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,137.6,2.752,0.0140,0.700,18.0,0.360,0.0038,0.190,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03bｰ02.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,140.6,2.812,0.0144,0.720,18.0,0.360,0.0038,0.190,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03bｰ03.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,137.6,2.752,0.0140,0.700,18.0,0.360,0.0038,0.190,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03bｰ04.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,140.6,2.812,0.0144,0.720,18.0,0.360,0.0038,0.190,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03sｰ01.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,154.6,3.092,0.0158,0.790,20.0,0.400,0.0042,0.210,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03sｰ02.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,157.6,3.152,0.0162,0.810,20.0,0.400,0.0042,0.210,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03sｰ03.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,154.6,3.092,0.0158,0.790,20.0,0.400,0.0042,0.210,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-03sｰ04.txt,中学2年,連立方程式,加減法②1つの式の両辺を何倍かして加減する,157.6,3.152,0.0162,0.810,20.0,0.400,0.0042,0.210,連立方程式,加減法①2つの式をそのまま加減する
m-jh2-A-03-04bｰ01.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,139.6,2.792,0.0140,0.700,18.0,0.360,0.0038,0.190,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04bｰ02.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,142.6,2.852,0.0144,0.720,18.0,0.360,0.0038,0.190,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04bｰ03.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,139.6,2.792,0.0140,0.700,18.0,0.360,0.0038,0.190,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04bｰ04.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,142.6,2.852,0.0144,0.720,18.0,0.360,0.0038,0.190,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04sｰ01.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,156.5,3.130,0.0158,0.790,20.0,0.400,0.0042,0.210,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04sｰ02.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,159.5,3.190,0.0162,0.810,20.0,0.400,0.0042,0.210,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04sｰ03.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,156.5,3.130,0.0158,0.790,20.0,0.400,0.0042,0.210,連立方程式,加減法②1つの式の両辺を何倍かして加減する
m-jh2-A-03-04sｰ04.txt,中学2年,連立方程式,加減法③それぞれの式の両辺を何倍かして加減する,159.5,3.190,0.0162,0.810,20.0,0.400,0.0042,0.210,連立方程式,加減法②1つの式の両辺を何倍かして加減する
