ステップ見出しタイトル 一意一覧（意味グループ順）
抽出対象: Math_Prompt直下の m-*.txt（Math_Question内の生成問題は除外）
一意タイトル数: 1576
形式: グループ	タイトル	出現数	例
03 表・図・数直線・グラフを読み取る／作る	傾きを読み取る	2	m-jh2-B-01-12b.txt:131, m-jh2-B-01-12b.txt:189
03 表・図・数直線・グラフを読み取る／作る	分子と分母を平方の形で表す	2	m-jh3-A-04-01s.txt:121, m-jh3-A-04-04s.txt:124
03 表・図・数直線・グラフを読み取る／作る	分数も $\sqrt{\phantom{0}}$ を使って表せる	1	m-jh3-A-04-02b.txt:137
03 表・図・数直線・グラフを読み取る／作る	切片から1点をとる	3	m-jh2-B-01-04b.txt:118, m-jh2-B-01-04b.txt:163, m-jh2-B-01-04b.txt:212
03 表・図・数直線・グラフを読み取る／作る	切片を読み取る	2	m-jh2-B-01-12b.txt:119, m-jh2-B-01-12b.txt:177
03 表・図・数直線・グラフを読み取る／作る	割り算を分数で表す	7	m-jh1-A-02-02b.txt:194, m-jh1-A-02-02b.txt:215, m-jh1-A-02-02b.txt:241, m-jh1-A-02-02b.txt:267, m-jh1-A-02-02b.txt:287
03 表・図・数直線・グラフを読み取る／作る	半径 $2a\ \mathrm{cm}$ の円の円周を文字式で表す	1	m-jh2-A-02-02s.txt:104
03 表・図・数直線・グラフを読み取る／作る	半径 $a\ \mathrm{cm}$ の円の円周を文字式で表す	1	m-jh2-A-02-02s.txt:97
03 表・図・数直線・グラフを読み取る／作る	半径に垂直な直線を作図する	1	m-jh1-C-01-14b.txt:150
03 表・図・数直線・グラフを読み取る／作る	反比例の式で点Aの $y$ 座標を求める	1	m-jh1-B-03-04b.txt:99
03 表・図・数直線・グラフを読み取る／作る	同じ文字の積を累乗で表す	2	m-jh1-A-02-02b.txt:114, m-jh1-A-02-02b.txt:349
03 表・図・数直線・グラフを読み取る／作る	同じ文字を累乗で表す	2	m-jh1-A-02-02b.txt:167, m-jh1-A-02-02s.txt:70
03 表・図・数直線・グラフを読み取る／作る	和が $-16$ になる組を表で確かめる	1	m-jh3-A-02-02b.txt:168
03 表・図・数直線・グラフを読み取る／作る	和が $9$ になる組を表で確かめる	1	m-jh3-A-02-02b.txt:99
03 表・図・数直線・グラフを読み取る／作る	和を文字式で表す	2	m-jh2-A-02-01b.txt:71, m-jh2-A-02-01b.txt:104
03 表・図・数直線・グラフを読み取る／作る	図のどの部分かを確認する	1	m-jh1-C-01-14b.txt:87
03 表・図・数直線・グラフを読み取る／作る	図の印を読み取る	3	m-jh2-C-01-06b.txt:131, m-jh2-C-01-06b.txt:190, m-jh2-C-01-06b.txt:248
03 表・図・数直線・グラフを読み取る／作る	図の角を読む	1	m-jh1-C-02-05b.txt:228
03 表・図・数直線・グラフを読み取る／作る	図形の名前を答える	3	m-jh1-C-01-01b.txt:76, m-jh1-C-01-01b.txt:98, m-jh1-C-01-01b.txt:120
03 表・図・数直線・グラフを読み取る／作る	図形の端を確認する	3	m-jh1-C-01-01b.txt:70, m-jh1-C-01-01b.txt:92, m-jh1-C-01-01b.txt:114
03 表・図・数直線・グラフを読み取る／作る	地図上の長さを確認する	1	m-jh3-C-01-12b.txt:219
03 表・図・数直線・グラフを読み取る／作る	垂直な線分を表す	1	m-jh1-C-01-02b.txt:260
03 表・図・数直線・グラフを読み取る／作る	基準と正の向きを読み取る	1	m-jh1-A-01-01s.txt:163
03 表・図・数直線・グラフを読み取る／作る	変化を読み取る	2	m-jh1-B-02-06b.txt:76, m-jh1-B-02-06b.txt:101
03 表・図・数直線・グラフを読み取る／作る	大きな分数にして、係数と文字をかけ算で表す	1	m-jh2-A-01-11s.txt:121
03 表・図・数直線・グラフを読み取る／作る	大きな分数にして、係数と項をかけ算で表す	1	m-jh2-A-01-11b.txt:115
03 表・図・数直線・グラフを読み取る／作る	奇数を文字式で表す	1	m-jh2-A-02-01b.txt:96
03 表・図・数直線・グラフを読み取る／作る	対応する点をとる	1	m-jh1-C-01-07b.txt:119
03 表・図・数直線・グラフを読み取る／作る	対応順をそろえて相似を表す	1	m-jh3-C-01-04s.txt:226
03 表・図・数直線・グラフを読み取る／作る	展開図で考える	1	m-jh3-C-03-11b.txt:110
03 表・図・数直線・グラフを読み取る／作る	展開図の縦と横を確認する	2	m-jh3-C-03-11b.txt:151, m-jh3-C-03-11b.txt:191
03 表・図・数直線・グラフを読み取る／作る	左辺の式 $2x - 3$ に、与えられた $x$ の値を順番に代入して表を作る	1	m-jh1-A-03-01b.txt:64
03 表・図・数直線・グラフを読み取る／作る	平方根を $\sqrt{\phantom{0}}$ を使って表す	1	m-jh3-A-04-02b.txt:90
03 表・図・数直線・グラフを読み取る／作る	平行な線分を表す	1	m-jh1-C-01-02b.txt:252
03 表・図・数直線・グラフを読み取る／作る	平面図を考える	2	m-jh1-C-02-10b.txt:224, m-jh1-C-02-10b.txt:266
03 表・図・数直線・グラフを読み取る／作る	平面図を見る	2	m-jh1-C-02-10b.txt:126, m-jh1-C-02-10b.txt:173
03 表・図・数直線・グラフを読み取る／作る	座標平面に点をとる	1	m-jh1-B-01-13b.txt:138
03 表・図・数直線・グラフを読み取る／作る	座標平面に点を取る	2	m-jh1-B-02-05b.txt:134, m-jh1-B-02-05b.txt:197
03 表・図・数直線・グラフを読み取る／作る	拡大図であることを確認する	1	m-jh3-C-01-08b.txt:296
03 表・図・数直線・グラフを読み取る／作る	数直線上での位置を考える	3	m-jh1-A-01-03b.txt:70, m-jh1-A-01-03b.txt:112, m-jh1-A-01-03b.txt:154
03 表・図・数直線・グラフを読み取る／作る	文字式で表すと	3	m-jh1-A-02-03s.txt:277, m-jh1-A-02-03s.txt:296, m-jh1-A-02-03s.txt:315
03 表・図・数直線・グラフを読み取る／作る	時間を距離と速さで表すと	1	m-jh1-A-02-03s.txt:142
03 表・図・数直線・グラフを読み取る／作る	時間を表す式をつくる	1	m-jh1-B-02-03b.txt:100
03 表・図・数直線・グラフを読み取る／作る	最初の割り算を分数で表す	1	m-jh1-A-02-02b.txt:312
03 表・図・数直線・グラフを読み取る／作る	条件を作図の言葉に言いかえる	2	m-jh1-C-01-12b.txt:348, m-jh1-C-01-13b.txt:131
03 表・図・数直線・グラフを読み取る／作る	根号の中が2乗で表せることを確認する	7	m-jh3-A-04-04b.txt:73, m-jh3-A-04-04b.txt:111, m-jh3-A-04-04b.txt:154, m-jh3-A-04-04s.txt:79, m-jh3-A-04-07b.txt:165
03 表・図・数直線・グラフを読み取る／作る	根号の中が2乗で表せる部分を探す	2	m-jh3-A-04-08s.txt:117, m-jh3-A-04-12s.txt:71
03 表・図・数直線・グラフを読み取る／作る	根号をはずして表す	3	m-jh3-A-04-04b.txt:87, m-jh3-A-04-04b.txt:170, m-jh3-A-04-04s.txt:95
03 表・図・数直線・グラフを読み取る／作る	正の平方根を表す	1	m-jh3-A-04-02b.txt:144
03 表・図・数直線・グラフを読み取る／作る	残りの量を式で表す	1	m-jh1-A-03-13b.txt:134
03 表・図・数直線・グラフを読み取る／作る	比例の式に点Aの座標を代入する	1	m-jh1-B-03-04b.txt:107
03 表・図・数直線・グラフを読み取る／作る	比例定数を読み取る	2	m-jh1-B-01-06b.txt:156, m-jh1-B-01-06b.txt:185
03 表・図・数直線・グラフを読み取る／作る	点 $A$ の座標を求める	1	m-jh3-B-01-10b.txt:126
03 表・図・数直線・グラフを読み取る／作る	点 $B$ の座標を求める	1	m-jh3-B-01-10b.txt:137
03 表・図・数直線・グラフを読み取る／作る	男子の数と女子の数を表す	1	m-jh1-A-03-13s.txt:125
03 表・図・数直線・グラフを読み取る／作る	直方体の底面の縦と横を表す	1	m-jh3-A-05-10s.txt:142
03 表・図・数直線・グラフを読み取る／作る	直線 $BC$ を作図の基準にする	1	m-jh1-C-01-11b.txt:199
03 表・図・数直線・グラフを読み取る／作る	直線 $\ell$ との交点をとる	1	m-jh1-C-01-09b.txt:276
03 表・図・数直線・グラフを読み取る／作る	立面図を考える	2	m-jh1-C-02-10b.txt:215, m-jh1-C-02-10b.txt:262
03 表・図・数直線・グラフを読み取る／作る	立面図を見る	2	m-jh1-C-02-10b.txt:122, m-jh1-C-02-10b.txt:169
03 表・図・数直線・グラフを読み取る／作る	素数の積で表す	1	m-jh1-A-01-21b.txt:78
03 表・図・数直線・グラフを読み取る／作る	累乗で表し、アルファベット順に並べる	1	m-jh1-A-02-02b.txt:146
03 表・図・数直線・グラフを読み取る／作る	線分 $AB$ との交点をとる	1	m-jh1-C-01-09b.txt:215
03 表・図・数直線・グラフを読み取る／作る	線分 $AB$ の垂直二等分線を作図する	5	m-jh1-C-01-09b.txt:209, m-jh1-C-01-09b.txt:270, m-jh1-C-01-10b.txt:123, m-jh1-C-01-11b.txt:123, m-jh1-C-01-13b.txt:146
03 表・図・数直線・グラフを読み取る／作る	線分 $AP$ の垂直二等分線を作図する	1	m-jh1-C-01-13b.txt:223
03 表・図・数直線・グラフを読み取る／作る	線分 $D E$ の垂直二等分線を作図する	1	m-jh1-C-01-11b.txt:208
03 表・図・数直線・グラフを読み取る／作る	線分 $EF$ の垂直二等分線を作図する	1	m-jh1-C-01-10b.txt:212
03 表・図・数直線・グラフを読み取る／作る	縮図上で測った長さを確認する	1	m-jh3-C-01-12b.txt:128
03 表・図・数直線・グラフを読み取る／作る	縮図上で測った高さを確認する	1	m-jh3-C-01-12b.txt:184
03 表・図・数直線・グラフを読み取る／作る	表から $x$ と $y$ の関係を調べる	1	m-jh1-B-01-02b.txt:73
03 表・図・数直線・グラフを読み取る／作る	表から左辺と右辺が等しくなる点を探す	1	m-jh1-A-03-01b.txt:101
03 表・図・数直線・グラフを読み取る／作る	表で分類する	1	m-jh1-A-01-01s.txt:230
03 表・図・数直線・グラフを読み取る／作る	表に値を入れる	1	m-jh2-A-03-01s.txt:96
03 表・図・数直線・グラフを読み取る／作る	表に整理する	1	m-jh2-B-01-01b.txt:95
03 表・図・数直線・グラフを読み取る／作る	表に書き入れる	1	m-jh1-B-01-11b.txt:93
03 表・図・数直線・グラフを読み取る／作る	表に書き入れると、	1	m-jh1-B-01-02b.txt:91
03 表・図・数直線・グラフを読み取る／作る	表の空欄に入る値を答える	1	m-jh3-A-05-01b.txt:129
03 表・図・数直線・グラフを読み取る／作る	表を完成させる	4	m-jh2-A-03-01b.txt:96, m-jh2-A-03-01b.txt:154, m-jh3-B-01-03b.txt:127, m-jh3-B-01-04b.txt:128
03 表・図・数直線・グラフを読み取る／作る	表面積を考える	1	m-jh3-B-01-01b.txt:233
03 表・図・数直線・グラフを読み取る／作る	表面積比を求める	1	m-jh3-C-01-07b.txt:128
03 表・図・数直線・グラフを読み取る／作る	表面積を求める	6	m-jh1-C-02-13b.txt:162, m-jh1-C-02-13b.txt:229, m-jh1-C-02-14b.txt:168, m-jh1-C-02-14b.txt:238, m-jh3-C-01-07b.txt:196
03 表・図・数直線・グラフを読み取る／作る	西へ $4\mathrm{km}$ → マイナスをつけて表す	1	m-jh1-A-01-02b.txt:125
03 表・図・数直線・グラフを読み取る／作る	記号で表す	2	m-jh1-C-01-02b.txt:122, m-jh1-C-01-14b.txt:95
03 表・図・数直線・グラフを読み取る／作る	距離を速さと時間で表すと	1	m-jh1-A-02-03s.txt:170
03 表・図・数直線・グラフを読み取る／作る	辺 $AC$ との交点をとる	1	m-jh1-C-01-12b.txt:291
03 表・図・数直線・グラフを読み取る／作る	辺 $BC$ との交点をとる	1	m-jh1-C-01-12b.txt:364
03 表・図・数直線・グラフを読み取る／作る	速さを距離と時間で表すと	1	m-jh1-A-02-03s.txt:198
03 表・図・数直線・グラフを読み取る／作る	連続する3つの整数の和を文字式で表す	1	m-jh2-A-02-01s.txt:110
03 表・図・数直線・グラフを読み取る／作る	連続する3つの整数を文字式で表す	1	m-jh2-A-02-01s.txt:103

## 04 式を立てる・比例式をつくる
04 式を立てる・比例式をつくる	$x$ と $y$ の関係を式にする	1	m-jh1-B-02-01b.txt:106
04 式を立てる・比例式をつくる	$x\ \text{g}$ の $7\%$ の重さを式にする	1	m-jh1-A-02-03s.txt:222
04 式を立てる・比例式をつくる	三角形の面積を式にする	2	m-jh3-A-05-11s.txt:159, m-jh3-A-05-11s.txt:304
04 式を立てる・比例式をつくる	不等式を2乗して考える	1	m-jh3-A-04-16b.txt:108
04 式を立てる・比例式をつくる	不等式を根号の形にそろえる	1	m-jh3-A-04-16s.txt:79
04 式を立てる・比例式をつくる	代金の式を立てる	1	m-jh2-A-03-11b.txt:76
04 式を立てる・比例式をつくる	代金を式にする	1	m-jh1-B-01-06b.txt:177
04 式を立てる・比例式をつくる	体積の条件を式にする	1	m-jh3-A-05-10s.txt:157
04 式を立てる・比例式をつくる	値引き後の合計で式を立てる	1	m-jh2-A-03-14b.txt:74
04 式を立てる・比例式をつくる	値引き後の合計を式にする	1	m-jh2-A-03-14s.txt:77
04 式を立てる・比例式をつくる	割引後の代金を式にする	1	m-jh2-A-03-14s.txt:173
04 式を立てる・比例式をつくる	右辺にする帰りの道のりを式にする	1	m-jh1-A-02-10s.txt:164
04 式を立てる・比例式をつくる	右辺を確認して等式にする	1	m-jh1-A-02-10s.txt:109
04 式を立てる・比例式をつくる	合計金額について方程式を立てる	2	m-jh1-A-03-10s.txt:91, m-jh1-A-03-10s.txt:149
04 式を立てる・比例式をつくる	合計金額の方程式を立てる	2	m-jh1-A-03-10b.txt:73, m-jh1-A-03-10b.txt:116
04 式を立てる・比例式をつくる	周の長さを式にする	1	m-jh1-A-02-01s.txt:115
04 式を立てる・比例式をつくる	和を式にする	1	m-jh1-A-02-01s.txt:151
04 式を立てる・比例式をつくる	定価の合計で式を立てる	1	m-jh2-A-03-14b.txt:69
04 式を立てる・比例式をつくる	定価の合計を式にする	1	m-jh2-A-03-14s.txt:168
04 式を立てる・比例式をつくる	左辺にする行きの道のりを式にする	1	m-jh1-A-02-10s.txt:158
04 式を立てる・比例式をつくる	左辺を式にする	1	m-jh1-A-02-10s.txt:103
04 式を立てる・比例式をつくる	文字を使って式にする	1	m-jh1-B-02-02b.txt:111
04 式を立てる・比例式をつくる	方程式を立てる	4	m-jh1-A-03-11b.txt:81, m-jh1-A-03-11b.txt:124, m-jh1-A-03-13b.txt:70, m-jh1-A-03-13b.txt:102
04 式を立てる・比例式をつくる	時間を式にする	1	m-jh1-B-01-07b.txt:99
04 式を立てる・比例式をつくる	条件を式に代入する	1	m-jh3-B-01-02b.txt:77
04 式を立てる・比例式をつくる	条件を式にする	8	m-jh2-A-03-12b.txt:122, m-jh2-A-03-12s.txt:169, m-jh2-A-03-14b.txt:122, m-jh3-A-05-09b.txt:83, m-jh3-A-05-09b.txt:138
04 式を立てる・比例式をつくる	果汁の重さを式にする	1	m-jh1-A-02-03s.txt:259
04 式を立てる・比例式をつくる	横の長さを式にする	1	m-jh1-A-02-01s.txt:108
04 式を立てる・比例式をつくる	正方形の周の長さを式にする	1	m-jh1-B-01-06b.txt:147
04 式を立てる・比例式をつくる	比例式をたてる	1	m-jh1-A-03-13s.txt:82
04 式を立てる・比例式をつくる	比例式を簡単にする	1	m-jh3-C-01-11b.txt:132
04 式を立てる・比例式をつくる	比例式を立てる	4	m-jh1-A-03-13s.txt:142, m-jh3-C-01-03b.txt:146, m-jh3-C-01-03b.txt:213, m-jh3-C-01-10b.txt:123
04 式を立てる・比例式をつくる	比例式を解く	5	m-jh1-A-03-13s.txt:88, m-jh1-A-03-13s.txt:148, m-jh3-C-01-03b.txt:153, m-jh3-C-01-03b.txt:220, m-jh3-C-01-11b.txt:221
04 式を立てる・比例式をつくる	言葉を式にする	1	m-jh1-A-02-10b.txt:69
04 式を立てる・比例式をつくる	追いつくときの関係を式にする	2	m-jh1-A-03-12s.txt:101, m-jh1-A-03-12s.txt:178
04 式を立てる・比例式をつくる	道のりが等しいことから方程式を立てる	1	m-jh1-A-03-12b.txt:81
04 式を立てる・比例式をつくる	道のりの合計で方程式を立てる	1	m-jh1-A-03-12b.txt:123
04 式を立てる・比例式をつくる	面積の式を立てる	3	m-jh3-A-05-10b.txt:88, m-jh3-A-05-10b.txt:152, m-jh3-A-05-10b.txt:209
04 式を立てる・比例式をつくる	面積の条件を式にする	1	m-jh3-A-05-10s.txt:233
04 式を立てる・比例式をつくる	面積の関係を式にする	1	m-jh1-B-02-03b.txt:74
04 式を立てる・比例式をつくる	面積を式にする	1	m-jh1-B-01-07b.txt:71
04 式を立てる・比例式をつくる	食塩の量で式を立てる	1	m-jh2-A-03-15b.txt:77
04 式を立てる・比例式をつくる	食塩の量を式にする	2	m-jh2-A-03-15b.txt:138, m-jh2-A-03-15s.txt:161
04 式を立てる・比例式をつくる	食塩水全体の量を式にする	2	m-jh2-A-03-15b.txt:133, m-jh2-A-03-15s.txt:156

## 05 代入する・値を入れる
05 代入する・値を入れる	$\sqrt{3}=1.732$ を代入する	1	m-jh3-A-04-18s.txt:81
05 代入する・値を入れる	$\sqrt{5}=2.236$ を代入する	1	m-jh3-A-04-18s.txt:121
05 代入する・値を入れる	$a=-2$ を代入する	1	m-jh1-A-02-04b.txt:79
05 代入する・値を入れる	$a=-2,\ b=3$ を代入する	1	m-jh1-A-02-04b.txt:372
05 代入する・値を入れる	$a=-3$ を代入する	1	m-jh1-A-02-04b.txt:106
05 代入する・値を入れる	$a=-3,\ b=4$ を代入する	1	m-jh1-A-02-04b.txt:345
05 代入する・値を入れる	$a=-3,\ b=\frac{1}{2}$ を代入する	1	m-jh1-A-02-04s.txt:113
05 代入する・値を入れる	$a=-4$ を代入する	1	m-jh1-A-02-04b.txt:133
05 代入する・値を入れる	$a=-5$ を代入する	2	m-jh1-A-02-04b.txt:160, m-jh1-A-02-04b.txt:266
05 代入する・値を入れる	$a=-6$ を代入する	1	m-jh1-A-02-04b.txt:292
05 代入する・値を入れる	$a=-6,\ b=4$ を代入する	1	m-jh1-A-02-04b.txt:398
05 代入する・値を入れる	$a=-8$ を代入する	1	m-jh1-A-02-04b.txt:319
05 代入する・値を入れる	$a=4,\ b=1$ を式に代入する	1	m-jh2-A-01-13b.txt:99
05 代入する・値を入れる	$x = 3$ をそれぞれの方程式に代入して確認しましょう	1	m-jh1-A-03-02b.txt:106
05 代入する・値を入れる	$x$ を代入し $y$ の値を求める	2	m-jh2-A-03-01b.txt:81, m-jh2-A-03-01b.txt:136
05 代入する・値を入れる	$x=-1$ を代入する	1	m-jh1-B-01-11b.txt:116
05 代入する・値を入れる	$x=-2$ を代入する	1	m-jh1-B-01-08b.txt:141
05 代入する・値を入れる	$x=-2,\ y=3$ を式に代入する	1	m-jh2-A-01-13s.txt:73
05 代入する・値を入れる	$x=-2,\ y=5$ を代入する	1	m-jh1-A-02-04s.txt:80
05 代入する・値を入れる	$x=-3$ を代入する	1	m-jh3-B-01-02b.txt:235
05 代入する・値を入れる	$x=-4$ を代入する	1	m-jh3-B-01-02b.txt:183
05 代入する・値を入れる	$x=-\frac{1}{2}$ を代入する	2	m-jh1-A-02-04b.txt:186, m-jh1-A-02-04b.txt:213
05 代入する・値を入れる	$x=-\frac{1}{3}$ を代入する	1	m-jh1-A-02-04b.txt:239
05 代入する・値を入れる	$x=10$ を①に代入する	1	m-jh2-A-03-14b.txt:146
05 代入する・値を入れる	$x=100$ を①に代入する	1	m-jh2-A-03-14b.txt:96
05 代入する・値を入れる	$x=17$ を①に代入する	1	m-jh2-A-03-12b.txt:143
05 代入する・値を入れる	$x=2$ を $y=3x$ に代入する	1	m-jh2-A-03-09s.txt:221
05 代入する・値を入れる	$x=2$ を①に代入して $y$ を求める	1	m-jh2-A-03-10b.txt:97
05 代入する・値を入れる	$x=2$ を①に代入して、$y$ を求める	1	m-jh2-A-03-10s.txt:148
05 代入する・値を入れる	$x=2$ を③に代入して、$y$ を求める	1	m-jh2-A-03-09s.txt:148
05 代入する・値を入れる	$x=2$ を代入する	1	m-jh1-B-01-11b.txt:125
05 代入する・値を入れる	$x=2,\ y=-6$ を代入する	1	m-jh1-B-02-03b.txt:134
05 代入する・値を入れる	$x=3$ を①に代入して、$y$ を求める	1	m-jh2-A-03-10s.txt:91
05 代入する・値を入れる	$x=3$ を②に代入して $y$ を求める	3	m-jh2-A-03-07b.txt:114, m-jh2-A-03-08b.txt:165, m-jh2-A-03-09b.txt:109
05 代入する・値を入れる	$x=3$ を代入する	3	m-jh1-A-03-09b.txt:67, m-jh1-B-01-08b.txt:94, m-jh3-A-03-02b.txt:76
05 代入する・値を入れる	$x=3,\ y=15$ を代入する	1	m-jh1-B-02-03b.txt:169
05 代入する・値を入れる	$x=3,\ y=2$ を式に代入する	1	m-jh2-A-01-13b.txt:72
05 代入する・値を入れる	$x=4$ を①に代入して $y$ を求める	1	m-jh2-A-03-06b.txt:154
05 代入する・値を入れる	$x=4$ を①に代入して、$y$ を求める	1	m-jh2-A-03-13s.txt:127
05 代入する・値を入れる	$x=4$ を①に代入する	1	m-jh2-A-03-12b.txt:94
05 代入する・値を入れる	$x=4$ を②に代入する	1	m-jh2-A-03-13b.txt:94
05 代入する・値を入れる	$x=5$ を①に代入して、$y$ を求める	2	m-jh2-A-03-06s.txt:179, m-jh2-A-03-12s.txt:127
05 代入する・値を入れる	$x=5$ を代入する	1	m-jh1-A-03-09b.txt:105
05 代入する・値を入れる	$x=6$ を①に代入する	2	m-jh2-A-03-11b.txt:102, m-jh2-A-03-12s.txt:194
05 代入する・値を入れる	$x=6$ を代入して $a$ を求める	1	m-jh3-A-05-08s.txt:77
05 代入する・値を入れる	$x=8$ を①に代入して、$y$ を求める	1	m-jh2-A-03-11s.txt:119
05 代入する・値を入れる	$x=\frac{16}{5}$ を②に代入して、$y$ を求める	1	m-jh2-A-03-07s.txt:130
05 代入する・値を入れる	$x=\frac{7}{17}$ を①に代入して、$y$ を求める	1	m-jh2-A-03-04s.txt:191
05 代入する・値を入れる	$y=-4$ を②に代入して、$x$ を求める	1	m-jh2-A-03-04s.txt:115
05 代入する・値を入れる	$y=1$ を②に代入して、$x$ を求める	1	m-jh2-A-03-03b.txt:185
05 代入する・値を入れる	$y=100$ を①に代入する	1	m-jh2-A-03-15b.txt:104
05 代入する・値を入れる	$y=120$ を①に代入する	1	m-jh2-A-03-15b.txt:166
05 代入する・値を入れる	$y=1400$ を①に代入する	1	m-jh2-A-03-14s.txt:194
05 代入する・値を入れる	$y=150$ を①に代入して、$x$ を求める	1	m-jh2-A-03-15s.txt:124
05 代入する・値を入れる	$y=2$ を①に代入して $x$ を求める	2	m-jh2-A-03-03s.txt:207, m-jh2-A-03-06b.txt:106
05 代入する・値を入れる	$y=2$ を①に代入して、$x$ を求める	2	m-jh2-A-03-04b.txt:170, m-jh2-A-03-06s.txt:114
05 代入する・値を入れる	$y=2$ を②に代入して $x$ を求める	2	m-jh2-A-03-03s.txt:121, m-jh2-A-03-08b.txt:108
05 代入する・値を入れる	$y=200$ を①に代入する	1	m-jh2-A-03-15s.txt:189
05 代入する・値を入れる	$y=3$ を①に代入して、$x$ を求める	2	m-jh2-A-03-03b.txt:113, m-jh2-A-03-04b.txt:107
05 代入する・値を入れる	$y=3$ を①に代入する	1	m-jh2-A-03-07b.txt:169
05 代入する・値を入れる	$y=3$ を②に代入する	1	m-jh2-A-03-09b.txt:170
05 代入する・値を入れる	$y=300$ を①に代入して、$x$ を求める	1	m-jh2-A-03-14s.txt:134
05 代入する・値を入れる	$y=4$ を②に代入して、$x$ を求める	1	m-jh2-A-03-08s.txt:137
05 代入する・値を入れる	$y=6$ を①に代入して $x$ を求める	1	m-jh2-A-03-10b.txt:139
05 代入する・値を入れる	$y=\frac{12}{7}$ を①に代入して、$x$ を求める	1	m-jh2-A-03-08s.txt:218
05 代入する・値を入れる	$y=\frac{4}{5}$ を①に代入する	1	m-jh2-A-03-07s.txt:206
05 代入する・値を入れる	$y=ax$ に代入する	1	m-jh1-B-01-17b.txt:124
05 代入する・値を入れる	$y=ax+b$ に代入する	2	m-jh2-B-01-12b.txt:139, m-jh2-B-01-12b.txt:197
05 代入する・値を入れる	1点を代入して $b$ を求める	3	m-jh2-B-01-13b.txt:147, m-jh2-B-01-13b.txt:197, m-jh2-B-01-13b.txt:239
05 代入する・値を入れる	①に $y=3x$ を代入する	1	m-jh2-A-03-09s.txt:211
05 代入する・値を入れる	①より $x=y-2$ と見て、②に代入する	1	m-jh2-A-03-10b.txt:125
05 代入する・値を入れる	①を②に代入する	2	m-jh2-A-03-06b.txt:92, m-jh2-A-03-06s.txt:95
05 代入する・値を入れる	②に代入する	3	m-jh2-A-03-05s.txt:89, m-jh2-A-03-05s.txt:140, m-jh2-A-03-05s.txt:191
05 代入する・値を入れる	③を②に代入して、$x$ を求める	1	m-jh2-A-03-11s.txt:108
05 代入する・値を入れる	ⓐの値を代入してみる	2	m-jh2-A-03-01b.txt:184, m-jh2-A-03-01b.txt:214
05 代入する・値を入れる	ⓑの値を代入してみる	2	m-jh2-A-03-01b.txt:188, m-jh2-A-03-01b.txt:218
05 代入する・値を入れる	ⓒの値を代入してみる	2	m-jh2-A-03-01b.txt:192, m-jh2-A-03-01b.txt:223
05 代入する・値を入れる	ⓓの値を代入してみる	2	m-jh2-A-03-01b.txt:196, m-jh2-A-03-01b.txt:228
05 代入する・値を入れる	それぞれの方程式に $x = 0$ を代入して左辺と右辺が等しいかを調べましょう	1	m-jh1-A-03-02b.txt:71
05 代入する・値を入れる	わかっている値を代入する	1	m-jh1-B-01-07b.txt:140
05 代入する・値を入れる	与えられた解を方程式に代入する	2	m-jh3-A-05-08b.txt:72, m-jh3-A-05-08b.txt:129
05 代入する・値を入れる	代入しやすい式を作る	1	m-jh2-A-03-05s.txt:131
05 代入する・値を入れる	代入しやすい文字を選ぶ	1	m-jh2-A-03-05s.txt:182
05 代入する・値を入れる	代入法か加減法かを判断する	5	m-jh2-A-03-07s.txt:102, m-jh2-A-03-08s.txt:108, m-jh2-A-03-09s.txt:119, m-jh2-A-03-10s.txt:78, m-jh2-A-03-10s.txt:128
05 代入する・値を入れる	代入法を選ぶ理由を確認する	1	m-jh2-A-03-05s.txt:78
05 代入する・値を入れる	値を代入する	5	m-jh1-B-01-07b.txt:179, m-jh2-A-01-13s.txt:98, m-jh3-A-03-02b.txt:99, m-jh3-A-03-02s.txt:74, m-jh3-A-03-02s.txt:101
05 代入する・値を入れる	傾きと切片をあてはめる	1	m-jh2-B-01-12b.txt:228
05 代入する・値を入れる	加法だけの式にあてはめる	1	m-jh1-A-01-08b.txt:364
05 代入する・値を入れる	半径 $r$ を代入する	1	m-jh2-A-02-02b.txt:73
05 代入する・値を入れる	半径を代入する	2	m-jh1-C-02-15b.txt:189, m-jh1-C-02-16b.txt:189
05 代入する・値を入れる	合同条件に当てはめる	3	m-jh2-C-01-06b.txt:138, m-jh2-C-01-06b.txt:202, m-jh2-C-01-06b.txt:259
05 代入する・値を入れる	変形した結果をもとの式に代入する	1	m-jh3-A-04-13s.txt:157
05 代入する・値を入れる	底辺 $a$、高さ $h$ を代入する	1	m-jh2-A-02-02b.txt:109
05 代入する・値を入れる	式に $x=0$ を代入する	1	m-jh3-A-05-01b.txt:118
05 代入する・値を入れる	式に $x=4$ を代入する	1	m-jh1-B-01-14b.txt:70
05 代入する・値を入れる	式に $x=8$ を代入する	1	m-jh1-B-01-14b.txt:98
05 代入する・値を入れる	式に $y=15$ を代入する	1	m-jh1-B-01-15b.txt:70
05 代入する・値を入れる	式に $y=9$ を代入する	1	m-jh1-B-01-15b.txt:98
05 代入する・値を入れる	式に代入する	1	m-jh1-B-01-11b.txt:82
05 代入する・値を入れる	条件を代入して $a$ を求める	1	m-jh3-B-01-02b.txt:219
05 代入する・値を入れる	条件を代入する	1	m-jh3-B-01-02b.txt:124
05 代入する・値を入れる	比例の式 $y=4x$ に $x=4$ を代入する	1	m-jh1-B-01-02b.txt:85
